Designator,Footprint,Quantity,Value,LCSC Part #,Link
A1,RaspberryPi_Pico_Common_THT,1,RaspberryPi_Pico,C7203003,https://www.lcsc.com/product-detail/C7203003.html?s_z=n_q_raspberry%2520pi%2520pico&spm=wm.fly.bg.0.xh&lcsc_vid=TwVfBgZeEVFaV1xSRFdYX11WRQJYUVRfE1dYX1BUFgAxVlNeQVFdVFZRR1laUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
"C1, C2",603,2,0.1uF,C19185645,https://www.lcsc.com/product-detail/C19185645.html?s_z=n_q_C19185645&globalKeyword=C19185645
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C94, C95",603,91,100nF,C19185645,https://www.lcsc.com/product-detail/C19185645.html?s_z=n_q_C19185645&globalKeyword=C19185645
C3,805,1,10uF,C576646,https://www.lcsc.com/product-detail/C576646.html?s_z=n_q_C576646&globalKeyword=C576646
C5,CP_EIA-7343-31_Kemet-D_HandSolder,1,470uF,C600572,https://www.lcsc.com/product-detail/C600572.html?s_z=n_q_C600572&globalKeyword=C600572
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D9",D_DO-35_SOD27_P7.62mm_Horizontal,81,1N4148,C258182,https://www.lcsc.com/product-detail/C258182.html?s_z=n_q_C258182&globalKeyword=C258182
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D82, D83, D84, D85, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",SK6812MINI-E_fixed,91,SK6812MINI-E,C5149201,https://www.lcsc.com/product-detail/C5149201.html?s_z=n_q_C5149201&globalKeyword=C5149201
J1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,OLED_DISPLAY,C160390,https://www.lcsc.com/product-detail/C160390.html?s_z=n_q_C160390&globalKeyword=C160390
R1,603,1,10k,C2906982,https://www.lcsc.com/product-detail/C2906982.html?s_z=n_q_C2906982&globalKeyword=C2906982
"R2, R3",603,2,4.7k,C99782,https://www.lcsc.com/product-detail/C99782.html?s_z=n_q_C99782&globalKeyword=C99782
R4,603,1,330,C105881,https://www.lcsc.com/product-detail/C105881.html?s_z=n_q_C105881&globalKeyword=C105881
S1,STAB_MX_2u,1,MX_stab,,
"S2, S3",STAB_MX_2.25u,2,MX_stab,,
S4,STAB_MX_6.25u,1,MX_stab,,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW9",SW_MX_1u,81,SW_Push_45deg,,
SW82,ROT_Alps_EC11E-Switch,1,RotaryEncoder_Switch,,
U1,DIP-28_W7.62mm,1,MCP23017x-x-SP,C558584,https://www.lcsc.com/product-detail/C558584.html?s_z=n_q_C558584&globalKeyword=C558584
