Designator,Mid X,Mid Y,Rotation,Layer
A1,211.058125,-95.72625,90.0,top
C1,260.746875,-96.36125,0.0,bottom
C10,181.371875,-123.285,180.0,top
C11,200.421875,-123.285,180.0,top
C12,219.471875,-123.285,180.0,top
C13,238.521875,-123.285,180.0,top
C14,267.096875,-123.285,180.0,top
C15,286.146875,-123.285,180.0,top
C16,305.196875,-123.285,180.0,top
C17,324.246875,-123.285,180.0,top
C18,352.821875,-123.285,180.0,top
C19,67.071875,-147.0975,180.0,top
C2,194.833125,-82.80375,180.0,top
C20,86.121875,-147.0975,180.0,top
C21,105.171875,-147.0975,180.0,top
C22,124.221875,-147.0975,180.0,top
C23,143.271875,-147.0975,180.0,top
C24,162.321875,-147.0975,180.0,top
C25,181.371875,-147.0975,180.0,top
C26,200.421875,-147.0975,180.0,top
C27,219.471875,-147.0975,180.0,top
C28,238.521875,-147.0975,180.0,top
C29,257.571875,-147.0975,180.0,top
C3,194.833125,-79.6925,180.0,top
C30,276.621875,-147.141874,180.0,top
C31,74.215625,-94.71,180.0,top
C32,62.309375,-94.71,180.0,top
C33,295.671875,-147.0975,180.0,top
C34,324.246875,-147.0975,180.0,top
C35,352.821875,-147.0975,180.0,top
C36,71.834375,-166.1475,180.0,top
C37,95.646875,-166.1475,180.0,top
C38,114.696875,-166.1475,180.0,top
C39,133.746875,-166.1475,180.0,top
C4,67.071875,-123.285,180.0,top
C40,152.796875,-166.1475,180.0,top
C41,171.846875,-166.1475,180.0,top
C42,190.896875,-166.1475,180.0,top
C43,209.946875,-166.1475,180.0,top
C44,228.996875,-166.1475,180.0,top
C45,248.046875,-166.1475,180.0,top
C46,267.096875,-166.1475,180.0,top
C47,286.146875,-166.1475,180.0,top
C48,305.196875,-166.1475,180.0,top
C49,329.009375,-166.1475,180.0,top
C5,67.071875,-127.3175,180.0,bottom
C50,352.821875,-166.1475,180.0,top
C51,74.215625,-185.1975,180.0,top
C52,100.409375,-185.34875,180.0,top
C53,119.459375,-185.1975,180.0,top
C54,138.509375,-185.1975,180.0,top
C55,157.559375,-185.1975,180.0,top
C56,176.609375,-185.1975,180.0,top
C57,195.659375,-185.1975,180.0,top
C58,214.709375,-185.1975,180.0,top
C59,233.759375,-185.1975,180.0,top
C6,95.646875,-123.285,180.0,top
C60,252.809375,-185.1975,180.0,top
C61,271.859375,-185.1975,180.0,top
C62,290.909375,-185.1975,180.0,top
C63,321.865625,-185.1975,180.0,top
C64,352.821875,-185.1975,180.0,top
C65,78.978125,-204.2475,180.0,top
C66,109.934375,-204.2475,180.0,top
C67,128.984375,-204.2475,180.0,top
C68,148.034375,-204.2475,180.0,top
C69,167.084375,-204.2475,180.0,top
C7,114.696875,-123.285,180.0,top
C70,186.134375,-204.2475,180.0,top
C71,205.184375,-204.2475,180.0,top
C72,224.234375,-204.2475,180.0,top
C73,243.284375,-204.2475,180.0,top
C74,262.334375,-204.2475,180.0,top
C75,281.384375,-204.2475,180.0,top
C76,307.578125,-204.2475,180.0,top
C77,333.771875,-204.2475,180.0,top
C78,352.821875,-204.2475,180.0,top
C79,69.453125,-223.2975,180.0,top
C8,133.746875,-123.285,180.0,top
